"My Subscriptions","Minhas assinaturas"
"Subscription #","Assinatura #"
"Status","Situação"
"Ship To","Entregar para"
"Created At","Criado em"
"Next Order At","Próximo pedido"
"Period","Periodicidade"
"Billing Agreement","Termos de cobrança"
"You don't have any subscriptions yet.","Você ainda não tem assinatura recorrente."
"Product Name","Nome do produto"
"Price","Preço"
"Row Total","Total"
"Added at","Adicionado à"
"Status","Status"
"Code","Código"
"Label","Etiqueta"
"Add Reason","Adicionar um motivo"
"Error Message","Mensagem de erro"
"Actions","Ações"
"Delete","Deletar"
"Are you sure?","Você tem certeza?"
"General Information","Informações gerais"
"Customer","Cliente"
"Created from","Criado a partir de"
"Adyen Subscription Information","Informações da Adyen recorrência"
"Created at","Criado em"
"Updated at","Atualizado em"
"Scheduled Order","Agendamento dos pedidos"
"Runs until","Até"
"Reference ID","Referência de ID"
"Method","Método"
"Shipping &amp; Handling Information","Entrega &amp; informações"
"Shipping Method Code","Código do método de entrega"
"Shipping Method Title","Título do método de entrega"
"Adyen Subscription Products","Produtos de recorrência Adyen"
"Cancel","Cancelar"
"Pause","Pausar"
"Resume","Voltar"
"Order #","Pedido #"
"Date","Data"
"Ship To","Entregar para"
"Order Total","Total do pedido"
"Order Status","Status do pedido"
"View Order","Ver o pedido"
"Back","Voltar"
"Product","Produto"
"Subtotal","Subtotal"
"Tax Amount","Impostos"
"Tax Percent","Percentual de impostos"
"Discount Amount","Desconto"
"Totals","Totais"
"Related Subscription","Assinaturas relacionadas"
"Adyen Subscription ID","Adyen recorrência ID"
"Adyen Subscription Status","Status da recorrência"
"Period Date","Data do período"
"Schedule Date","Data de agendamento"
"Are you sure you want to place the order now?","Tem certeza que quer inserir um pedido agora?"
"Order will be automatically created at:","O pedido será automaticamente criado em"
"Finish Editing","Finalizar edição"
"Cancel Subscription","Cancelar assinatura"
"Confirm Cancellation","Confirmar o cancelamento"
"History #","Histórico"
"Date","Data"
"Admin mail","Email gerenciador"
"Customer mail","Email do consumidor"
"History","Histórico"
"Purchased On","Comprado em"
"G.T. (Purchased)","G.T. (Comprado)"
"Action","Ação"
"View Order","Ver pedido"
"Past Orders","Pedidos anteriores"
"Pause Subscription","Pausar assinatura"
"Cancel Subscription","Cancelar assinatura"
"Activate Subscription","Ativar a assinatura"
"Are you sure you want to do reactivate this subscription?","Você tem certeza que quer reativar esta assinatura?"
"Schedule Order","Agendar pedido"
"Edit Subscription","Editar assinatura"
"Adyen Subscription %s for %s","Assinatura %s para %s"
"New Adyen Subscription","Nova assinatura Adyen"
"Sales","Vendas"
"Adyen Subscription","Assinatura Adyen"
"This subscription no longer exists.","Esta assinatura não existe mais."
"Adyen Subscription successfully saved","Adyen assinatura foi salva com sucesso."
"Could not find subscription","Não achou a assinatura"
"The subscription has been successfully paused","A assinatura foi pausada com sucesso"
"An error occurred while trying to pause this subscription","Ocorreu um erro enquanto tentava pausar sua assinatura"
"No stop reason given","Nenhuma razão para ter parado"
"The subscription has been successfully deleted","A assinatura foi apagada com sucesso"
"An error occurred while trying to delete this subscription","Um erro ocorreu enquanto tentava apagar a assinatura"
"Quote (#%s) successfully created","Cotação (#%s) criada com sucesso"
"Adyen Subscription and scheduled order successfully updated","Adyen assinatura e agendamento do pedido atualizado com sucesso"
"An error occurred: ","Um erro ocorreu: "
"Quote successfully updated","Cotação atualizada com sucesso"
"Please select subscription(s).","Por favor selecione uma assinatura"
"Adyen Subscription","Adyen assinatura"
"Add New Adyen Subscription","Adicionar nova assinatura"
"%s to add a new subscription.","%s para adicionar uma nova assinatura."
"Add New Adyen Subscription","Adicionar uma nova assinatura"
"Drag and drop to reorder","Clique e arraste para recomprar"
"Subscription: %s (ID: %s)","Assinaturas: %s (ID: %s)"
"New Adyen Subscription","Nova assinatura"
"There are subscriptions using this method are you sure you want to delete it? it will not change the current subscriptions.","Há uma assinatura usando este método. Você tem certeza que quer apagar? Isto não mudará as assinaturas vigentes."
"Use Default","Usar padrão"
"Billing Period","Periodicidade de cobrança"
"Billing Period Unit","Unidade do período de cobrança"
"Subscription will be created every [Billing Period] [Billing Period Unit], e.g. every 3 months","Assinatura será criada a cada [Periodicidade de cobrança] [Unidade do período de cobrança], e.g. a cada 3 meses"
"Qty in Subscription","Qty na assinatura"
"Show on Frontend","Mostrar no frontend"
"Watch out! this product subscription is used in current subscriptions. Change this will not change the current subscriptions","Cuidado! Este produto é usado em assinaturas vigentes. Mudanças não terão efeito nas assinaturas vigentes"
"-- Select an option --","-- Selecione uma opção --"
"None (standalone purchase)","Nenhuma (compra avulsa)"
"Manage Subscription","Gerenciar assinaturas"
"Reason","Motivo"
"Adyen Subscription Disabled","Assinatura desabilitada"
"Adyen Subscription Enabled + Standalone purchase possible","Assinatura habilitada + compra avulsa"
"Adyen Subscription Enabled + Subscription option selection required","Assinatura habilitada + opção de assinatura obrigatória"
"Order will be automatically created at:","Pedido será automaticamente criado em:"
"Create Order Now","Criar pedido agora"
"Days","Dias"
"Weeks","Semanas"
"Months","Meses"
"Years","Anos"
"Day","Dia"
"Week","Semana"
"Month","Mês"
"Year","Ano"
"%s (Every %s %s)","%s (A cada %s %s)"
"%s (Every %s)","%s (A cada %s)"
"(%s - %s per %s)","(%s - %s por $s)"
"Scheduled At","Agendado para"
"Select date","Selecione a data"
"Append Comments","Incluir comentários"
"Email Order Confirmation","Email de confirmação do pedido"
"Submit Order","Enviar pedido"
" [deleted]"," [apagado]"
"Information","Informação"
"All Customer Groups","Todos os segmentos de clientes"
"-- Please Select --","-- Por favor selecione --"
"Inc. Tax","Incluir Impostos"
"Update prices of all existing subscriptions (prices be updated by cron)","Atualizar preços de todos as assinaturas existentes (preços serão atualizados pelo cron do sistema)."
"Select from existing customer addresses:","Selecione de um endereço existente:"
"Add New Address","Adicionar novo endereço"
"Same As Billing Address","Mesmo que o endereço de cobrança"
"Save in address book","Salvar endereço"
"Shipping address selection is not applicable","Endereço de cobrança não aplicável"
"Adyen Subscription Information","Informação da assinatura"
"Subscription Fee","Fee de assinatura"
"Subscription","Assinatura"
"No subscription","Sem assinatura"
"Active","Ativa"
"Expired","Expirada"
"Quote Creation Error","Erro na solicitação"
"Order Creation Error","Erro na criação do pedido"
"Subscription Error","Erro na assinatura"
"Canceled","Cancelada"
"Awaiting Payment","Esperando pagamento"
"Payment Error","Erro no Pagamento"
"Paused", "Pausada"
"Adyen Subscription: Number of created order (1 for the very first order) %s %s","Assinatura: Número de pedidos criados (1 para o primeiro pedido) %s %s"
"An error occurred while adding a product to the quote: %s","Um erro ocorreu enquanto adicionava um produto: %s"
"Product Subscription ID","Assinatura ID"
"Number of subscription order","Número do pedido da assinatura"
"Created a subscription (#%s) from order.","Criado a assinatura (#%s) do pedido."
"No billing agreement found","Nenhum termo de cobrança encontrado"
"Adyen Subscription Type is set back to \'Disabled\' because no subscriptions were defined","Tipo de assinatura foi configurado para \'Desabilitada'\ porque nenhuma assinatura foi definida."
"Not allowed to create order from quote","Não é permitido criar um pedido desta cotação"